Character Name,Unit Cost,Common/Unique,Hero/Squad,Faction,World,Species,Class,Personality,Base Size,Size,Height,Life,M,R,A,D,d20 Ability
Tarn Viking Warriors,50,Unique,Squad,Jandar,Earth,Human,Warriors,Wild,Single,Medium,5,1,4,1,3,4,Yes
Zetacron,60,Unique,Hero,Jandar,,Soulborg,Scout,Precise,Single,Large,7,2,5,8,2,4,No
"Johnny ""Shotgun"" Sullivan",65,Unique,Hero,Jandar,,Human,Lawman,Tricky,Single,Medium,5,5,5,5,2,2,No
4TH MASSACHUSETTS LINE,70,Common,Squad,Jandar,,Human,Soldiers,Valiant,Single,Medium,5,1,5,6,2,2,No
Knights of Weston,70,Common,Squad,Jandar,,Human,Knights,Valiant,Single,Medium,5,1,4,1,3,4,No
Dzu-Teh,75,Common,Squad,Jandar,,Wild,Hunters,,Single,Medium,6,1,5,1,4,3,No
Concan the Kyrie Warrior,80,Unique,Hero,Jandar,,Kyrie,Warrior,Valiant,Single,Medium,5,5,5,1,4,4,No
Finn the Viking Champion,80,Unique,Hero,Jandar,Earth,Human,Champion,Valiant,Single,Medium,5,4,5,1,3,4,No
Kelda the Kyrie Warrior,80,Unique,Hero,Jandar,,Kyrie,Warrior,Merciful,Single,Medium,5,5,6,1,2,3,No
Kumiko,80,Unique,Hero,Jandar,,Human,Ninja,Tricky,Single,Medium,4,3,6,1,3,5,No
MacDirk Warriors,80,Common,Squad,Jandar,,Human,Warriors,Wild,Single,Medium,5,1,5,1,2,2,No
Thorgrim the Viking Champion,80,Unique,Hero,Jandar,Earth,Human,Champion,Valiant,Single,Medium,5,4,5,1,3,4,No
Omnicron Snipers,100,Common,Squad,Jandar,,Soulborg,Snipers,Precise,Single,Medium,5,1,5,7,1,3,No
Sir Denrick,100,Unique,Hero,Jandar,,Human,Champion,Valiant,Single,Medium,5,5,5,1,4,4,No
Sir Gilbert,105,Unique,Hero,Jandar,,Human,Champion,Valiant,Single,Medium,5,6,5,1,3,4,No
Airborne Elite,110,Unique,Squad,Jandar,Earth,Human,Soldiers,Disciplined,Single,Medium,5,1,4,8,3,2,Yes
Alastair MacDirk,110,Unique,Hero,Jandar,,Human,Champion,Valiant,Single,Medium,5,6,5,1,5,3,No
Sentinels of Jandar,110,Common,Squad,Jandar,,Kyrie,Sentinels,Valiant,Single,Medium,6,1,4,1,3,4,No
Sgt. Drake Alexander,110,Unique,Hero,Jandar,Earth,Human,Soldier,Valiant,Single,Medium,5,5,5,1,6,3,No
Templar Cavalry,120,Common,Squad,Jandar,,Human,Knights,Valiant,Single,Large,6,1,8,1,3,3,No
Raelin the Kyrie Warrior,125,Unique,Hero,Jandar,Valhalla,Kyrie,Warrior,Merciful,Single,Medium,5,5,6,1,3,3,No
Sir Dupuis,150,Unique,Hero,Jandar,,Human,Knight,Valiant,Single,Large,6,6,8,1,4,3,No
Nilfheim,240,Unique,Hero,Jandar,Icaria,Dragon,King,Ferocious,Double,Huge,12,6,6,1,6,4,No
Kyntela Gwyn,20,Unique,Hero,Ullar,,Elf,Wizard,Valiant,Single,Medium,4,2,5,1,2,2,No
Theracus,40,Unique,Hero,Ullar,Feylund,Gryphillin,Scout,Disciplined,Double,Large,5,3,7,1,3,3,No
Venoc Vipers,40,Common,Squad,Ullar,,,Vipers,Relentless,Single,Medium,5,1,7,1,3,0,No
Arkmer,50,Unique,Hero,Ullar,,Elf,Wizard,Tricky,Single,Medium,5,3,5,5,4,2,No
Warriors of Ashra,50,Common,Squad,Ullar,,Elves,Warriors,Tricky,Single,Medium,4,1,5,1,3,3,No
DEADEYE DAN,60,Unique,Hero,Ullar,,Human,Sniper,Precise,Single,Medium,5,3,5,10,1,2,No
Armoc Vipers,65,Common,Squad,Ullar,,,Viper,Protectors Relentless,Single,Medium,5,1,7,1,3,3,No
Aubrien Archers,70,Common,Squad,Ullar,,Elf,Archers,Precise,Single,Medium,4,1,5,6,2,2,No
EMIRROON,80,Unique,Hero,Ullar,,Elf,Wizard,Tricky,Single,Medium,5,5,5,1,3,3,No
Saylind the Kyrie Warrior,80,Unique,Hero,Ullar,,Kyrie,Warrior,Valiant,Single,Medium,5,5,6,1,3,3,No
Shaolin Monks,80,Common,Squad,Ullar,,Human,Monks,Disciplined,Single,Medium,5,1,6,1,3,3,No
Atlaga the Kyrie Warrior,90,Unique,Hero,Ullar,,Kyrie,Warrior,Confident,Single,Medium,6,4,5,5,4,3,No
Chardris,90,Unique,Hero,Ullar,,Elf,Wizard,Valiant,Single,Medium,5,6,5,1,3,2,No
Elite Onyx Vipers,100,Unique,Squad,Ullar,,,Vipers,Scouts,Single,Medium,5,1,7,1,3,2,No
Jorhdawn,100,Unique,Hero,Ullar,,Elf,Wizard,Valiant,Single,Medium,4,6,5,1,3,2,No
Morsbane,100,Unique,Hero,Ullar,,Elf,Wizard,Tricky,Single,Medium,5,6,5,1,3,2,No
Syvarris,100,Unique,Hero,Ullar,Feylund,Elf,Archer,Precise,Single,Medium,5,4,5,9,3,2,No
Acolarh,110,Unique,Hero,Ullar,,Elf,Wizard,Valiant,Single,Medium,5,5,5,1,3,2,No
Moriko,110,Unique,Hero,Ullar,,Human,Ninja,Disciplined,Single,Medium,4,4,6,1,4,4,No
Protectors of Ullar,110,Common,Squad,Ullar,,Kyrie,Protectors,Confident,Single,Medium,6,1,4,5,3,3,No
Venoc Warlord,120,Unique,Hero,Ullar,,Viper,Warlord,Relentless,Single,Medium,6,6,7,1,4,3,No
Ulginesh,150,Unique,Hero,Ullar,,Elf,Wizard,Tricky,Single,Large,6,5,7,6,3,3,No
Sonlen,160,Unique,Hero,Ullar,,Elf,Archmage,Tricky,Single,Medium,5,6,5,6,4,3,No
Charos,210,Unique,Hero,Ullar,,Dragon,Dragon,Valiant,Single,Huge,9,9,5,1,5,5,No
Jotun,225,Unique,Hero,Ullar,Feylund,Giant,Warrior,Wild,Double,Huge,10,7,6,1,8,4,Yes
Isamu,10,Unique,Hero,Utgar,,Human,Ninja,Disciplined,Single,Medium,4,1,6,1,3,1,No
Marcu Esenwein,20,Unique,Hero,Utgar,,Undead,Devourer,Terrifying,Single,Medium,4,6,7,1,4,1,No
Dumutef Guard,25,Common,Hero,Utgar,,Fiantooth,Guard,Relentless,Single,Large,7,1,6,1,4,4,No
Swog Rider,25,Common,Hero,Utgar,Grut,Orc,Beast,Wild,Double,Large,6,1,8,1,3,3,No
Marrden Nagrubs,30,Common,Squad,Utgar,,,Nagrubs,,Single,Small,3,1,6,1,2,2,No
Arrow Gruts,40,Common,Squad,Utgar,Grut,Orc,Archer,Wild,Single,Medium,4,1,6,6,1,1,No
Blade Gruts,40,Common,Squad,Utgar,Grut,Orc,Warrior,Wild,Single,Medium,4,1,6,1,2,2,No
Sonya Esenwein,45,Unique,Hero,Utgar,,Undead,Lady,Terrifying,Single,Medium,4,3,6,1,3,3,No
Iskra Esenwein,50,Unique,Hero,Utgar,,Undead,Duchess,Terrifying,Single,Medium,4,4,6,1,3,3,No
Marro Dividers,50,Common,Squad,Utgar,,Marro,Dividers,Wild,Single,Medium,4,1,5,1,3,3,No
Marro Drones,50,Common,Squad,Utgar,,Marro,Drone,Wild,Single,Medium,5,1,6,1,3,3,No
Marro Drudge,50,Common,Squad,Utgar,,Marro,Hunters,Wild,Single,Medium,4,1,5,5,2,2,No
Me-Burq-Sa,50,Unique,Hero,Utgar,,Marro,Warlord,Wild,Single,Large,7,3,8,6,3,3,No
Nerak the Glacian Swog Rider,50,Unique,Hero,Utgar,,Orc,Champion,Wild,Single,Large,6,3,8,1,3,3,No
Rechets of Bogdan,50,Unique,Squad,Utgar,,Undead,Devourer,Terrifying,Single,Medium,4,1,6,1,3,3,No
Deathreavers,60,Common,Squad,Utgar,Alpha Prime,Soulborg,Deathreavers,Tricky,Single,Small,3,1,6,1,1,4,No
Marro Stingers,60,Common,Squad,Utgar,,Marro,Stingers,Wild,Single,Medium,4,1,5,5,3,3,No
Zombies of Morindan,60,Common,Squad,Utgar,,Undead,Savages,Terrifying,Single,Medium,5,1,4,1,2,3,No
Heavy Gruts,70,Common,Squad,Utgar,Grut,Orc,Warrior,Wild,Single,Medium,4,1,5,1,3,3,No
Zettian Guards,70,Unique,Squad,Utgar,Alpha Prime,Soulborg,Guards,Precise,Single,Medium,5,1,4,7,2,7,No
Anubian Wolves,75,Common,Squad,Utgar,,,Wolves,Devourers Relentless,Single,Medium,5,1,6,1,1,4,No
Khosumet the Darklord,75,Unique,Hero,Utgar,,,Darklord,Relentless,Single,Medium,5,3,6,1,3,3,No
Wolves of Badru,80,Common,Squad,Utgar,,Wolves,Hunters,Relentless,Single,Small,3,1,6,1,3,3,No
Marrden Hounds,90,Common,Squad,Utgar,,Wild,Hunters,,Single,Large,4,1,1,1,3,5,No
Ne-Gok-Sa,90,Unique,Hero,Utgar,Marr,Marro,Warlord,Tricky,Single,Medium,5,5,5,1,3,6,Yes
Sir Hawthorne,90,Unique,Hero,Utgar,,Human,Champion,Relentless,Single,Medium,5,6,5,1,4,4,No
Warden 816,90,Unique,Hero,Utgar,,Soulborg,Warden,Tricky,Single,Medium,4,2,5,7,3,6,No
Deathstalkers,100,Common,Squad,Utgar,,Soulborg,Deathstalkers,Wild,Single,Large,5,1,7,1,3,5,No
Deathwalker 7000,100,Unique,Hero,Utgar,,Soulborg,Deathwalker,Tricky,Single,Medium,5,1,6,1,3,7,No
Obsidian Guards,100,Common,Squad,Utgar,,Moltarn,Guards,Ferocious,Single,Medium,5,1,4,1,4,4,No
Ornak,100,Unique,Hero,Utgar,,Orc,Champion,Wild,Single,Medium,5,4,6,1,3,3,No
Shades of Bleakwoode,100,Common,Squad,Utgar,,Undead,Devourers,Terrifying,Single,Medium,5,1,7,1,2,4,No
Tornak,100,Unique,Hero,Utgar,,Orc,Champion,Tricky,Single,Large,6,3,7,1,4,5,No
Marro Warriors,105,Unique,Squad,Utgar,Marr,Marro,Warriors,Wild,Single,Medium,4,1,6,6,2,3,Yes
Brunak,110,Unique,Hero,Utgar,,Troll,Troll,Ferocious,Single,Huge,8,3,6,1,4,7,No
Minions of Utgar,110,Common,Squad,Utgar,,Kyrie,Minions,Relentless,Single,Medium,6,1,4,1,2,6,No
Krug,120,Unique,Hero,Utgar,,Beast,Troll,Relentless,Single,Huge,8,8,5,1,2,3,No
Runa,120,Unique,Hero,Utgar,,Kyrie,Warrior,Tricky,Single,Medium,5,5,6,1,3,3,No
Deathwalker 8000,130,Unique,Hero,Utgar,,Soulborg,Deathwalker,Precise,Single,Large,7,1,5,7,3,8,No
Grok Riders,130,Common,Squad,Utgar,,Marro,Marro,Hunters,Single,Large,5,1,7,1,3,3,No
Kee-Mo-Shi,130,Unique,Hero,Utgar,,Marro,Warwitch,Tricky,Single,Medium,6,4,6,1,4,4,No
Tul-Bak-Ra,130,Unique,Hero,Utgar,,Marro,Overlord,Terrifying,Single,Medium,5,6,5,1,4,4,No
Wo-Sa-Ga,135,Unique,Hero,Utgar,,Marro,Marro,Terrifying,Single,Huge,10,4,6,1,6,4,No
Deathwalker 9000,140,Unique,Hero,Utgar,Alpha Prime,Soulborg,Deathwalker,Precise,Single,Large,7,1,5,7,4,9,No
Cyprien Esenwein,150,Unique,Hero,Utgar,,Undead,Lord,Terrifying,Single,Medium,4,6,8,1,3,4,No
Mimring,150,Unique,Hero,Utgar,Icaria,Dragon,Beast,Ferocious,Double,Huge,9,5,6,1,4,3,No
Grimnak,160,Unique,Hero,Utgar,Grut,Orc,Champion,Ferocious,Double,Huge,11,5,5,1,2,4,Yes
Marro Hive,160,Unique,Hero,Utgar,,Marro,Hive,Terrifying,Single,Huge,17,6,0,1,1,2,No
Su-Bak-Na,160,Unique,Hero,Utgar,Marr,Marro,Hivelord,Tricky,Double,Huge,12,5,6,1,7,3,Yes
Taelord the Kyrie Warrior,180,Unique,Hero,Utgar,,Kyrie,Warrior,Relentless,Single,Medium,5,5,5,1,3,3,No
Tor-Kul-Na,220,Unique,Hero,Utgar,,Marro,,Terrifying,Single,Huge,11,6,6,1,6,5,No
Otonashi,10,Unique,Hero,Vydar,Earth,Human,Ninja,Tricky,Single,Medium,4,1,6,1,2,3,No
Blastatrons,60,Common,Squad,Vydar,,Soulborg,Guards,Disciplined,Single,Medium,4,1,5,7,1,2,No
James Murphy,75,Unique,Hero,Vydar,,Human,Lawman,Disciplined,Single,Medium,4,5,5,7,2,2,No
Gladiatrons,80,Common,Squad,Vydar,,Soulborg,Hunters,Disciplined,Single,Medium,5,1,5,1,2,3,No
Gorillinators,90,Common,Squad,Vydar,,Primadon,Agent,Tricky,Single,Medium,5,1,7,6,2,1,No
Agent Carr,100,Unique,Hero,Vydar,Earth,Human,Agent,Tricky,Single,Medium,5,4,5,6,2,4,No
Krav Maga Agents,100,Unique,Squad,Vydar,Earth,Human,Agents,Tricky,Single,Medium,4,1,6,7,3,3,No
Major X17,100,Unique,Hero,Vydar,,Soulborg,Major,Disciplined,Single,Medium,5,5,5,1,4,3,No
Microcorp Agents,100,Common,Squad,Vydar,,Human,Agents,Tricky,Single,Medium,5,1,5,7,2,3,No
Dünd,110,Unique,Hero,Vydar,,,Hunter,Tricky,Single,Large,4,4,6,1,3,5,No
Laglor,110,Unique,Hero,Vydar,,Primadon,Primadon,Precise,Single,Medium,5,6,5,7,3,3,No
AGENT SKAHEN,120,Unique,Hero,Vydar,,Human,Agent,Tricky,Single,Medium,4,3,6,7,3,3,No
NAKITA AGENTS,120,Unique,Squad,Vydar,,Human,Agents,Tricky,Single,Medium,4,1,5,6,3,3,No
Sudema,140,Unique,Hero,Vydar,,Wild,Queen,Undead,Single,Medium,5,4,5,1,2,3,No
Major Q10,150,Unique,Hero,Vydar,,Soulborg,Major,Merciful,Single,Large,6,4,5,8,4,5,No
Braxas,210,Unique,Hero,Vydar,Icaria,Dragon,Queen,Wild,Double,Huge,13,8,6,1,5,3,Yes
Major Q9,250,Unique,Hero,Vydar,Alpha Prime,Soulborg,Major,Precise,Double,Large,7,4,5,8,4,7,No
